    INFO: 2026-03-21 16:19:19,155:               log.py:   20: Logging to C:\Users\lucid\OneDrive\Projects\VitalUtils\mdpdf.log
   DEBUG: 2026-03-21 16:19:19,354:      pdf_renderer.py:  470: printSegment: NUM/STR tracks
   DEBUG: 2026-03-21 16:19:19,355:      pdf_renderer.py:  470: printSegment: : Records for each track appear consecutively and are sorted by time.
   DEBUG: 2026-03-21 16:19:19,355:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,356:      pdf_renderer.py:  470: printSegment: Track grouping
   DEBUG: 2026-03-21 16:19:19,357:      pdf_renderer.py:  470: printSegment: : All RECs belonging to the same track are stored consecutively in the file (track by
   DEBUG: 2026-03-21 16:19:19,357:      pdf_renderer.py:  470: printSegment: track).
   DEBUG: 2026-03-21 16:19:19,358:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,359:      pdf_renderer.py:  470: printSegment: TRKINFO fields
   DEBUG: 2026-03-21 16:19:19,359:      pdf_renderer.py:  470: printSegment: : Each TRKINFO includes 
   DEBUG: 2026-03-21 16:19:19,360:      pdf_renderer.py:  470: printSegment: reclen
   DEBUG: 2026-03-21 16:19:19,360:      pdf_renderer.py:  470: printSegment: , 
   DEBUG: 2026-03-21 16:19:19,361:      pdf_renderer.py:  470: printSegment: dtstart
   DEBUG: 2026-03-21 16:19:19,361:      pdf_renderer.py:  470: printSegment: , and 
   DEBUG: 2026-03-21 16:19:19,362:      pdf_renderer.py:  470: printSegment: dtend
   DEBUG: 2026-03-21 16:19:19,362:      pdf_renderer.py:  470: printSegment:  for the track.
   DEBUG: 2026-03-21 16:19:19,363:      pdf_renderer.py:  470: printSegment: NaN values by format type
   DEBUG: 2026-03-21 16:19:19,363:      pdf_renderer.py:  470: printSegment: | Format | NaN value | Description |
   DEBUG: 2026-03-21 16:19:19,364:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,364:      pdf_renderer.py:  470: printSegment: |--------|-----------|-------------|
   DEBUG: 2026-03-21 16:19:19,365:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,365:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,365:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,365:      pdf_renderer.py:  470: printSegment: FLOAT (1) | NaN | IEEE 754 NaN |
   DEBUG: 2026-03-21 16:19:19,368:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,368:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,369:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,369:      pdf_renderer.py:  470: printSegment: DOUBLE (2) | NaN | IEEE 754 NaN |
   DEBUG: 2026-03-21 16:19:19,370:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,370:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,371:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,371:      pdf_renderer.py:  470: printSegment: CHAR (3) | -128 | signed byte min |
   DEBUG: 2026-03-21 16:19:19,373:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,373:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,373:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,373:      pdf_renderer.py:  470: printSegment: BYTE (4) | 255 |
   DEBUG: 2026-03-21 16:19:19,375:      pdf_renderer.py:  470: printSegment: unsigned byte max |
   DEBUG: 2026-03-21 16:19:19,375:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,376:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,376:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,377:      pdf_renderer.py:  470: printSegment: SHORT (5) | -32768 | signed short min |
   DEBUG: 2026-03-21 16:19:19,378:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,378:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,379:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,379:      pdf_renderer.py:  470: printSegment: WORD (6) | 65535 | unsigned short max
   DEBUG: 2026-03-21 16:19:19,380:      pdf_renderer.py:  470: printSegment: |
   DEBUG: 2026-03-21 16:19:19,380:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,381:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,381:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,383:      pdf_renderer.py:  470: printSegment: LONG (7) | -2147483648 | signed long min |
   DEBUG: 2026-03-21 16:19:19,383:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,384:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,384:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,385:      pdf_renderer.py:  470: printSegment: DWORD (8) | 4294967295 | unsigned long max |
   DEBUG: 2026-03-21 16:19:19,386:      pdf_renderer.py:  470: printSegment: Body
   DEBUG: 2026-03-21 16:19:19,386:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,388:      pdf_renderer.py:  470: printSegment: Body is a sequence of packets as specified below.
   DEBUG: 2026-03-21 16:19:19,388:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,409:      pdf_renderer.py:  470: printSegment: Since the length of a packet is not constant, there is no way to directly index a specific packet
   DEBUG: 2026-03-21 16:19:19,419:      pdf_renderer.py:  470: printSegment: without reading all packets. However, if you ignore the unwanted packet type and pass it using
   DEBUG: 2026-03-21 16:19:19,422:      pdf_renderer.py:  470: printSegment: datalen field, you can read the information you want fairly quickly. (For example, when you want to
   DEBUG: 2026-03-21 16:19:19,423:      pdf_renderer.py:  470: printSegment: extract only some track)
   DEBUG: 2026-03-21 16:19:19,424:      pdf_renderer.py:  470: printSegment: Packet structure
   DEBUG: 2026-03-21 16:19:19,425:      pdf_renderer.py:  470: printSegment: | Name | Type | Length | Description |
   DEBUG: 2026-03-21 16:19:19,426:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,427:      pdf_renderer.py:  470: printSegment: |------|------|--------|-------------|
   DEBUG: 2026-03-21 16:19:19,428:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,429:      pdf_renderer.py:  470: printSegment: | type | BYTE | 1 | SAVE
   DEBUG: 2026-03-21 16:19:19,430:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,431:      pdf_renderer.py:  470: printSegment: DEVINFO = 9,
   DEBUG: 2026-03-21 16:19:19,431:      pdf_renderer.py:  470: printSegment: SAVE
   DEBUG: 2026-03-21 16:19:19,433:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,433:      pdf_renderer.py:  470: printSegment: TRKINFO = 0, SAVE
   DEBUG: 2026-03-21 16:19:19,434:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,434:      pdf_renderer.py:  470: printSegment: REC = 1, SAVE
   DEBUG: 2026-03-21 16:19:19,435:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,435:      pdf_renderer.py:  470: printSegment: CMD = 6 |
   DEBUG: 2026-03-21 16:19:19,437:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,438:      pdf_renderer.py:  470: printSegment: | datalen | DWORD | 4 | length of 
   DEBUG: 2026-03-21 16:19:19,438:      pdf_renderer.py:  470: printSegment: data
   DEBUG: 2026-03-21 16:19:19,443:      pdf_renderer.py:  470: printSegment:  (exclude type
   DEBUG: 2026-03-21 16:19:19,445:      pdf_renderer.py:  470: printSegment: and datalen itself). If you meet the type you dont know, please ignore it and skip the datalen bytes. |
   DEBUG: 2026-03-21 16:19:19,445:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,449:      pdf_renderer.py:  470: printSegment: | data | | datalen |
   DEBUG: 2026-03-21 16:19:19,450:      pdf_renderer.py:  470: printSegment: The contents of data depends on the type and are described below. |
   DEBUG: 2026-03-21 16:19:19,450:      pdf_renderer.py:  470: printSegment: DEVINFO
   DEBUG: 2026-03-21 16:19:19,451:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,451:      pdf_renderer.py:  470: printSegment: Structure for device information
   DEBUG: 2026-03-21 16:19:19,452:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,453:      pdf_renderer.py:  470: printSegment: It must be saved before the devid is used.
   DEBUG: 2026-03-21 16:19:19,454:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,455:      pdf_renderer.py:  470: printSegment: If devid is 0, it indicates the vital recorder itself (for example, filter-generated tracks,
   DEBUG: 2026-03-21 16:19:19,456:      pdf_renderer.py:  470: printSegment: event markers)
   DEBUG: 2026-03-21 16:19:19,456:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,459:      pdf_renderer.py:  470: printSegment: A new DEVINFO can appear for the same device id (devid) in a file. In this case, the new value
   DEBUG: 2026-03-21 16:19:19,459:      pdf_renderer.py:  470: printSegment: should overwrites the previous value.
   DEBUG: 2026-03-21 16:19:19,459:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,461:      pdf_renderer.py:  470: printSegment: devid and trkid are meaningful only within the same file.
   DEBUG: 2026-03-21 16:19:19,462:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,467:      pdf_renderer.py:  470: printSegment: Even if the program instance is different, the Vital Recorder is implemented with the same devid
   DEBUG: 2026-03-21 16:19:19,468:      pdf_renderer.py:  470: printSegment: value if the same kind of equipment is connected to the same physical port.
   DEBUG: 2026-03-21 16:19:19,469:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,476:      pdf_renderer.py:  470: printSegment: For example, if two BIS devices are connected to COM5 and COM6, the previous
   DEBUG: 2026-03-21 16:19:19,479:      pdf_renderer.py:  470: printSegment: devid remains the same even if the program is terminated and then re-executed.
   DEBUG: 2026-03-21 16:19:19,479:      pdf_renderer.py:  470: printSegment: (save the devid to the registry)
   DEBUG: 2026-03-21 16:19:19,480:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,483:      pdf_renderer.py:  470: printSegment: If you intentionally terminate the program and then switch between the two BIS
   DEBUG: 2026-03-21 16:19:19,484:      pdf_renderer.py:  470: printSegment: devices and run the program again, the devids may cross each other.
   DEBUG: 2026-03-21 16:19:19,484:      pdf_renderer.py:  470: printSegment: | Name | Type | Length | Description |
   DEBUG: 2026-03-21 16:19:19,485:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,485:      pdf_renderer.py:  470: printSegment: |------|------|--------|-------------|
   DEBUG: 2026-03-21 16:19:19,486:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,486:      pdf_renderer.py:  470: printSegment: | devid | DWORD | 4 | device identifier |
   DEBUG: 2026-03-21 16:19:19,487:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,487:      pdf_renderer.py:  470: printSegment: |
   DEBUG: 2026-03-21 16:19:19,489:      pdf_renderer.py:  470: printSegment: typename | string | 4+len | device type |
   DEBUG: 2026-03-21 16:19:19,489:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,490:      pdf_renderer.py:  470: printSegment: | devname | string | 4+len | device name |
   DEBUG: 2026-03-21 16:19:19,490:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,507:      pdf_renderer.py:  470: printSegment: | port | string | 4+len | Information
   DEBUG: 2026-03-21 16:19:19,519:      pdf_renderer.py:  470: printSegment: that allows device types such as COM1, COM10, ETH1, and Line Input Mixer to recognize the port to which the
   DEBUG: 2026-03-21 16:19:19,521:      pdf_renderer.py:  470: printSegment: device is connected with this information only. If the device type and port are the same, it is generally considered
   DEBUG: 2026-03-21 16:19:19,522:      pdf_renderer.py:  470: printSegment: the same device. |
   DEBUG: 2026-03-21 16:19:19,522:      pdf_renderer.py:  470: printSegment: TRKINFO
   DEBUG: 2026-03-21 16:19:19,523:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,524:      pdf_renderer.py:  470: printSegment: Structure for track information
   DEBUG: 2026-03-21 16:19:19,524:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,525:      pdf_renderer.py:  470: printSegment: TRKINFO must be appeared before the first record with the track id.
   DEBUG: 2026-03-21 16:19:19,526:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,526:      pdf_renderer.py:  470: printSegment: Otherwise, the record should be ignored.
   DEBUG: 2026-03-21 16:19:19,527:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,528:      pdf_renderer.py:  470: printSegment: Tracks are separated by trkids, which are 2-byte integers.
   DEBUG: 2026-03-21 16:19:19,528:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,529:      pdf_renderer.py:  470: printSegment: The numeric value of trkid itself has no meaning and there is no continuity
   DEBUG: 2026-03-21 16:19:19,529:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,530:      pdf_renderer.py:  470: printSegment: trkids can be changed every time the program is executed.
   DEBUG: 2026-03-21 16:19:19,530:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,531:      pdf_renderer.py:  470: printSegment: The order of the tracks is not in the order of trkid size, but in the order of appearance
